qb,att,cmp,yds,ypa,int,lg,sack,loss,accuracy,td
Matthew StaffordM. Stafford,0.22544334085259096,0.020979329035133457,-0.30099941844117123,-0.46748655362434444,-0.8261202436825615,0.2493034682438817,1.1510137743077415,1.342450236538787,-0.27150333252465675,1
Teddy BridgewaterT. Bridgewater,0.5208982426697106,0.47152207524742595,-0.2723741818066735,-0.6064031522611171,2.552953981041595,-1.0279688094046548,3.436956461301168,2.5155404316623797,0.004236624079718449,0
Tom BradyT. Brady,0.5208982426697106,0.9220648214597185,1.3783477974493614,0.6994128749245461,-0.8261202436825615,1.082307127579884,0.008042430811028223,0.16936004141519423,0.6541950932186038,4
Kyle OrtonK. Orton,0.5947619681239905,0.584157761800499,0.7867595736697419,0.17152980010480992,0.30023783122549075,-0.08389799549051916,1.722499446056098,1.4206562495470265,0.06410121992145781,2
Cam NewtonC. Newton,1.1856717717582297,1.1473361945658647,0.6436333904972533,-0.3007866352602171,0.30023783122549075,-0.5837001910921205,-1.134928912685685,-1.0037301537083985,0.057222368846475684,2
Andy DaltonA. Dalton,0.96408059539539,1.5978789407781573,1.0157614667457235,0.060396521195391704,1.426595906133543,-0.13943157277958598,-0.5634432409373284,-0.7691121146836799,0.8809247917554246,2
Ben RoethlisbergerB. Roethlisberger,0.8902168699411102,0.24625070214127973,0.10929563998662936,-0.5230531930790533,0.30023783122549075,-0.5837001910921205,0.008042430811028223,-0.45628806265072186,-0.7269666537015275,1
Brian HoyerB. Hoyer,-0.9563762664158876,-1.2180132230486709,0.0043364389934710725,1.532912466745182,-0.8261202436825615,0.8046392411345498,-0.5634432409373284,-0.45628806265072186,-0.9037935901584302,1
Aaron RodgersA. Rodgers,0.8902168699411102,0.584157761800499,0.45279847960060193,-0.27300331553286267,-0.8261202436825615,-0.4726330365139868,0.5795281025593848,0.24756605442343374,-0.2975298080204784,3
Ryan TannehillR. Tannehill,0.07771588994403116,0.1336150155882066,0.2619635687039505,0.17152980010480992,1.426595906133543,-0.6392337683811873,-0.5634432409373284,-0.45628806265072186,0.1457598391341532,2
